County,State,Population,Murder,Rape^,Robbery,AggravatedAssault^^,Burglary,Violentcrimetotal,Larceny,MotorVehicleTheft,2019TotalIndex,%IndexChange18/19*,"IndexRatePer100,000",RateChange18/19*,Spending,Poverty
Manatee,Florida,"392,004",17,209,239,"1,355",906,"1,581","5,252",444,"8,422",-7.6,"2,148.40",-9.9,$279.23 ,30
Marion,Florida,"360,421",31,227,211,"1,087","1,198","1,345","4,947",696,"8,397",-5.7,"2,329.80",-7.4,$163.65 ,39.4
Martin,Florida,"158,598",5,96,45,203,226,304,"1,640",85,"2,300",-9.2,"1,450.20",-11,$314.01 ,27
Monroe,Florida,"76,212",2,36,34,210,159,248,"1,154",109,"1,704",-11.5,"2,235.90",-14.1,$697.59 ,27.3
Nassau,Florida,"85,070",2,39,4,154,345,195,644,82,"1,270",-14.5,"1,492.90",-16.9,$192.38 ,24.1
Okaloosa,Florida,"201,514",12,113,60,554,478,679,"2,967",311,"4,495",-10.6,"2,230.60",-12.1,$255.20 ,28.3
Okeechobee,Florida,"41,808",2,21,28,141,168,164,715,100,"1,175",-14.9,"2,810.50",-16.3,$221.48 ,48.2
Orange,Florida,"1,386,080",91,718,"1,789","5,180","5,757","5,989","31,425","3,890","48,850",0.6,"3,524.30",-2.1,$201.48 ,36
Osceola,Florida,"370,552",14,138,145,855,"1,189","1,007","5,412",445,"8,198",2.8,"2,212.40",-2.2,$262.19 ,42
PalmBeach,Florida,"1,447,857",87,561,"1,324","3,671","3,493","4,319","25,734","2,701","37,571",-7.9,"2,594.90",-8.8,$325.68 ,30.5
Pasco,Florida,"527,122",14,251,293,"1,135","1,171","1,400","6,155",548,"9,567",-6.9,"1,814.90",-9,$312.37 ,32.5
Pinellas,Florida,"978,045",40,460,620,"2,259","2,517","2,759","18,785","1,624","26,305",-8.5,"2,689.50",-9.2,$225.17 ,30.6
Polk,Florida,"690,606",23,166,300,"1,501","1,947","1,690","8,914",936,"13,787",-4.3,"1,996.40",-6.7,$166.45 ,39.6
Putnam,Florida,"73,268",4,22,24,138,296,164,977,74,"1,535",-25.3,"2,095.00",-25.6,$189.29 ,50.9
St.Johns,Florida,"254,412",6,44,46,296,364,346,"2,090",176,"3,022",-10.1,"1,187.80",-15.7,$343.57 ,19.3
St.Lucie,Florida,"309,359",19,104,149,540,538,663,"3,351",344,"5,045",-4.2,"1,630.80",-6.3,$187.17 ,35.3
SantaRosa,Florida,"179,054",5,61,18,176,361,242,"1,138",126,"1,885",-8.5,"1,052.80",-10.3,$283.75 ,25.4
Sarasota,Florida,"421,685",9,77,143,696,967,782,"5,980",395,"8,267",-3.5,"1,960.50",-5.6,$214.36 ,24.3
Seminole,Florida,"471,735",6,201,235,863,"1,137","1,070","6,502",528,"9,472",-4.5,"2,007.90",-6.1,$210.48 ,26.7
Sumter,Florida,"128,633",5,18,20,206,318,229,703,118,"1,388",0.7,"1,079.00",-2.2,$156.54 ,23.2
Suwannee,Florida,"45,423",2,17,10,183,213,202,340,39,804,10.9,"1,770.00",9.6,$164.29 ,40.8
Taylor,Florida,"22,458",0,11,7,135,189,146,283,58,683,-5.4,"3,041.20",-6.1,$206.88 ,43.4
Union,Florida,"15,505",0,12,3,32,30,44,47,6,130,30,838.4,33,$186.73 ,42.4
Volusia,Florida,"538,703",25,98,278,"1,511","1,698","1,634","8,282",837,"12,729",-16.2,"2,362.90",-17.4,$121.09 ,34.8
Wakulla,Florida,"32,976",0,11,2,63,124,74,346,33,579,-0.9,"1,755.80",-4,$252.79 ,31.8
Walton,Florida,"70,071",1,18,4,120,153,139,713,77,"1,086",-8.2,"1,549.90",-11.4,$809.49 ,31.3
Washington,Florida,"25,387",0,2,6,53,57,55,162,28,308,0.7,"1,213.20",-0.4,$159.96 ,49.9
